Code,Name,Type,Alcohol,Px,Px Unit,Bulk Px,Bulk Unit,URL
PW8301,"AdegaMãe Lisboa Valley Selection Red 2019",Red Wine,13.5%,£8.50,Bottle,£51,Case of 6,/shop/ProductDetail.aspx?pd=PW8301
SP15841,"Casa La Rad Solarce, Rioja 2018",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=SP15841
SA16281,"The Society's Exhibition Pinotage, Stellenbosch 2018",Red Wine,14%,£11.95,Bottle,£71.50,Case of 6,/shop/ProductDetail.aspx?pd=SA16281
CB6131,"Château Lamothe Saint Germain, Bordeaux 2019",Red Wine,14.5%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=CB6131
CE11311,"The Society’s Chilean Cabernet Sauvignon, Maipo 2019",Red Wine,14%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=CE11311
FC38541,"The Society's Corbières 2018",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=FC38541
IT29951,"Aglianico del Vulture, Le Ralle 2017",Red Wine,13%,£8.95,Bottle,£53.50,Case of 6,/shop/ProductDetail.aspx?pd=IT29951
PW8131,"Adega de Redondo Real Lavrador, Alentejano 2019",Red Wine,13.5%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=PW8131
FC40091,"Duo du Midi, Pays d'Oc 2020",Red Wine,13%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=FC40091
SP16261,"Cruz de Piedra Garnacha, Calatayud 2019",Red Wine,14.5%,£6.95,Bottle,£41.50,Case of 6,/shop/ProductDetail.aspx?pd=SP16261
IT29861,"The Society's Barbera d'Asti Superiore 2018",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=IT29861
AU23521,"Three Bunches Australian Shiraz 2019",Red Wine,14.5%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=AU23521
RH60221,"The Society's Exhibition Vacqueyras 2019",Red Wine,14.5%,£12.50,Bottle,£150,Case of 12,/shop/ProductDetail.aspx?pd=RH60221
CM16811,"Château Charmail, Haut-Médoc 2012",Red Wine,13%,£17,Bottle,£204,Case of 12,/shop/ProductDetail.aspx?pd=CM16811
CM23691,"Château Cap L'Ousteau, Haut-Médoc 2016",Red Wine,13%,£8.50,Bottle,£51,Case of 6,/shop/ProductDetail.aspx?pd=CM23691
BJ8771,"The Society’s Beaujolais-Villages 2020",Red Wine,13.5%,£8.25,Bottle,£99,Case of 12,/shop/ProductDetail.aspx?pd=BJ8771
CM23461,"Château Constant Lesquireau, Haut-Médoc 2018",Red Wine,13%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=CM23461
AR4321,"Weinert Carrascal Corte Tinto Mendoza 2017",Red Wine,14%,£11.50,Bottle,£138,Case of 12,/shop/ProductDetail.aspx?pd=AR4321
RH57481,"Côtes-du-Rhône Rive Droite Rive Gauche 2019",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=RH57481
SP16331,"The Society's Exhibition Rioja Reserva 2015",Red Wine,14%,£16.50,Bottle,£198,Case of 12,/shop/ProductDetail.aspx?pd=SP16331
IT30371,"Nero d'Avola La Ferla, Sicilia 2019",Red Wine,13%,£7.95,Bottle,£47.50,Case of 6,/shop/ProductDetail.aspx?pd=IT30371
BJ8591,"The Society's Exhibition Morgon 2019",Red Wine,13.5%,£9.95,Bottle,£119,Case of 12,/shop/ProductDetail.aspx?pd=BJ8591
CB5911,"Château de la Grave ‘Caractère', Côtes de Bourg 2017",Red Wine,13.5%,£9.95,Bottle,£119,Case of 12,/shop/ProductDetail.aspx?pd=CB5911
PW8501,"Fonte do Ouro, Dão 2018",Red Wine,13%,£8.75,Bottle,£52.50,Case of 6,/shop/ProductDetail.aspx?pd=PW8501
RH57421,"Costières de Nîmes La Ciboise, Chapoutier 2019",Red Wine,15%,£9.50,Bottle,£57,Case of 6,/shop/ProductDetail.aspx?pd=RH57421
IT29911,"The Society's Primitivo di Manduria 2018",Red Wine,14%,£9.95,Bottle,£119,Case of 12,/shop/ProductDetail.aspx?pd=IT29911
AU23721,"Victory Hotel Australian Shiraz 2019",Red Wine,14%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=AU23721
CB5921,"Château Bel Air Perponcher Rouge Réserve, Bordeaux 2018",Red Wine,13.5%,£10.95,Bottle,£131,Case of 12,/shop/ProductDetail.aspx?pd=CB5921
IT30581,"Barbera d'Alba Superiore Conca del Grillo, Silvano Bolmida 2018",Red Wine,14.5%,£13.50,Bottle,£81,Case of 6,/shop/ProductDetail.aspx?pd=IT30581
BJ8391,"Domaine des Coteaux de Font Curé, Brouilly 2018",Red Wine,13.5%,£9.95,Bottle,£119,Case of 12,/shop/ProductDetail.aspx?pd=BJ8391
PW8431,"Crasto, Douro 2019",Red Wine,14%,£10.95,Bottle,£65.50,Case of 6,/shop/ProductDetail.aspx?pd=PW8431
FC39771,"Cabardès Terroirs d'Altitude, Château de Pennautier 2016",Red Wine,14%,£9.95,Bottle,£119,Case of 12,/shop/ProductDetail.aspx?pd=FC39771
SP15691,"Viña Zorzal Garnacha, Navarra 2019",Red Wine,13.5%,£7.25,Bottle,£43.50,Case of 6,/shop/ProductDetail.aspx?pd=SP15691
FC39961,"Gamay, Jacques Dépagneux, Vin de France 2020",Red Wine,12%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=FC39961
