Code,Name,Type,Alcohol,Px,Px Unit,Bulk Px,Bulk Unit,URL
PW8611,"The Society's Portuguese Red, Península de Setúbal 2020",Red Wine,13.5%,£5.95,Bottle,£71,Case of 12,/shop/ProductDetail.aspx?pd=PW8611
IT31011,"The Society's Sicilian Reserve Red 2017",Red Wine,13.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=IT31011
IT29871,"The Society's Valpolicella Ripasso 2018",Red Wine,13.5%,£10.95,Bottle,£65.50,Case of 6,/shop/ProductDetail.aspx?pd=IT29871
CB6231,"Château Massieu Boutet, Bordeaux 2019",Red Wine,12.5%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=CB6231
BJ8771,"The Society’s Beaujolais-Villages 2020",Red Wine,13.5%,£8.25,Bottle,£99,Case of 12,/shop/ProductDetail.aspx?pd=BJ8771
SP16261,"Cruz de Piedra Garnacha, Calatayud 2019",Red Wine,14.5%,£6.95,Bottle,£41.50,Case of 6,/shop/ProductDetail.aspx?pd=SP16261
FC40071,"Domaine Laborie, Pays d'Oc 2020",Red Wine,12.5%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=FC40071
IT31951,"Montepulciano d'Abruzzo Gran Sasso 2019",Red Wine,13.5%,£8.95,Bottle,£53.50,Case of 6,/shop/ProductDetail.aspx?pd=IT31951
GR1691,"Xinomavro Jeunes Vignes, Thymiopoulos 2019",Red Wine,13%,£11.50,Bottle,£69,Case of 6,/shop/ProductDetail.aspx?pd=GR1691
CB6141,"Château Haut-Bardin, Bordeaux 2018",Red Wine,14%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=CB6141
FC40831,"Domaine Félines-Jourdan Rouge, Hérault 2020",Red Wine,13.5%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=FC40831
CB5961,"Château Lary Tagot, Bordeaux 2018",Red Wine,14%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=CB5961
IT31401,"The Society's Exhibition Langhe Nebbiolo 2018",Red Wine,14.5%,£13.95,Bottle,£167,Case of 12,/shop/ProductDetail.aspx?pd=IT31401
AR4381,"The Society's Exhibition Mendoza Malbec 2019",Red Wine,13.5%,£11.50,Bottle,£138,Case of 12,/shop/ProductDetail.aspx?pd=AR4381
BJ8751,"The Society's Exhibition Fleurie 2020",Red Wine,13.5%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=BJ8751
IT32131,"Feudo Arancio Nero d'Avola 2019",Red Wine,13%,£7.50,Bottle,£45,Case of 6,/shop/ProductDetail.aspx?pd=IT32131
LO16181,"Saumur Rouge ‘Les Plantagenêts' Cabernet Franc 2018",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=LO16181
IT30241,"The Society's Montepulciano d'Abruzzo 2019",Red Wine,13.5%,£7.75,Bottle,£93,Case of 12,/shop/ProductDetail.aspx?pd=IT30241
RH57481,"Côtes-du-Rhône Rive Droite Rive Gauche 2019",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=RH57481
SP16201,"Glorioso Reserva, Rioja 2016",Red Wine,14%,£11.95,Bottle,£71.50,Case of 6,/shop/ProductDetail.aspx?pd=SP16201
CL241,"The Society's Claret 2019",Red Wine,13.5%,£7.25,Bottle,£87,Case of 12,/shop/ProductDetail.aspx?pd=CL241
AA3151,"Familie Mantler Zweigelt 2019",Red Wine,13.5%,£8.50,Bottle,£51,CASE6,/shop/ProductDetail.aspx?pd=AA3151
IT30761,"Baccolo Appassimento Rosso Veneto 2019",Red Wine,13.5%,£6.95,Bottle,£41.50,Case of 6,/shop/ProductDetail.aspx?pd=IT30761
SP16181,"The Society's Rioja Crianza 2017",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=SP16181
AR4361,"The Society’s Argentine Malbec 2020",Red Wine,14.5%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=AR4361
RH60311,"The Society's Côtes-du-Rhône 2020",Red Wine,14%,£7.75,Bottle,£93,Case of 12,/shop/ProductDetail.aspx?pd=RH60311
PW8321,"Terrenus Tinto, Alentejo-Portalegre 2016",Red Wine,14%,£12.95,Bottle,£77.50,Case of 6,/shop/ProductDetail.aspx?pd=PW8321
AA3451,"Heidi Schröck & Söhne 'Wine Champion' Blaufränkisch, Burgenland 2020",Red Wine,13.5%,£9.95,Bottle,£59.50,Case of 6,/shop/ProductDetail.aspx?pd=AA3451
FC40041,"The Society's French Pinot Noir 2020",Red Wine,12.5%,£7.50,Bottle,£90,Case of 12,/shop/ProductDetail.aspx?pd=FC40041
FC40241,"Syrah-Mourvèdre, Côtes de Thongue, Domaine La Condamine L'Evêque 2020",Red Wine,13%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=FC40241
RH56921,"Ventoux Les Traverses, Paul Jaboulet Aîné 2019",Red Wine,14.5%,£8.75,Bottle,£105,Case of 12,/shop/ProductDetail.aspx?pd=RH56921
LO16281,"Touraine Tradition, Domaine de la Renaudie 2018",Red Wine,12.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=LO16281
CB6101,"Château Le Clos du Notaire, Côtes de Bourg 2017",Red Wine,14%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=CB6101
AU23261,"Victory Hotel Australian Shiraz-Cabernet Sauvignon 2020",Red Wine,14%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=AU23261
CE11521,"Lascar Classic Merlot 2020",Red Wine,13%,£5.95,Bottle,£71,Case of 12,/shop/ProductDetail.aspx?pd=CE11521
CB6191,"Château de la Grave ‘Caractère', Côtes de Bourg 2018",Red Wine,14.5%,£9.50,Bottle,£114,Case of 12,/shop/ProductDetail.aspx?pd=CB6191
IT31941,"The Society's Barbera d'Asti Superiore 2019",Red Wine,14.5%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=IT31941
FC39771,"Cabardès Terroirs d'Altitude, Château de Pennautier 2016",Red Wine,14%,£8.95,bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=FC39771
SP16451,"Muga Reserva, Rioja 2017",Red Wine,14%,£16,Bottle,£192,Case of 12,/shop/ProductDetail.aspx?pd=SP16451
SP16361,"Navajas Crianza, Rioja 2016",Red Wine,13.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=SP16361
CS12011,"Château Chaigneau, Lalande-de-Pomerol 2016",Red Wine,13%,£12.95,Bottle,£77.50,Case of 6,/shop/ProductDetail.aspx?pd=CS12011
US9731,"Paris Valley Road California Zinfandel 2017",Red Wine,15%,£11.50,Bottle,£138,Case of 12,/shop/ProductDetail.aspx?pd=US9731
SP16221,"La Rioja Alta Viña Ardanza Reserva, Rioja 2012",Red Wine,14.5%,£25,Bottle,£300,Case of 12,/shop/ProductDetail.aspx?pd=SP16221
NZ12391,"The Society's Exhibition Marlborough Pinot Noir 2020",Red Wine,13.5%,£14.50,Bottle,£174,Case of 12,/shop/ProductDetail.aspx?pd=NZ12391
CB5441,"Château Pey La Tour Reserve, Bordeaux Supérieur 2017",Red Wine,14.5%,£11.50,Bottle,£138,Case of 12,/shop/ProductDetail.aspx?pd=CB5441
GR1941,"Rapsani Terra Petra, Thymiopoulos 2018",Red Wine,13%,£22,Bottle,£132,Case of 6,/shop/ProductDetail.aspx?pd=GR1941
AU23461,"Wakefield Promised Land Shiraz-Cabernet 2019",Red Wine,14.5%,£8.50,Bottle,£51,Case of 6,/shop/ProductDetail.aspx?pd=AU23461
US9371,"The Society's California Old-Vine Zinfandel 2019",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=US9371
FC39961,"Gamay, Jacques Dépagneux, Vin de France 2020",Red Wine,12%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=FC39961
SP16331,"The Society's Exhibition Rioja Reserva 2015",Red Wine,14%,£16.50,Bottle,£198,Case of 12,/shop/ProductDetail.aspx?pd=SP16331
BJ8621,"Domaine du Moulin d'Eole, Moulin-à-Vent Les Thorins 2019",Red Wine,13%,£12.50,Bottle,£150,Case of 12,/shop/ProductDetail.aspx?pd=BJ8621
SA16381,"Glenelly Glass Collection Cabernet Sauvignon, Stellenbosch 2017",Red Wine,14.5%,£11.50,Bottle,£69,Case of 6,/shop/ProductDetail.aspx?pd=SA16381
FC40091,"Duo du Midi, Pays d'Oc 2020",Red Wine,13%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=FC40091
PW8591,"Old Vines in Young Hands Tinto 2019",Red Wine,13%,£6.25,Bottle,£37.50,Case of 6,/shop/ProductDetail.aspx?pd=PW8591
RH57581,"Côtes-du-Rhône, Domaine Jaume 2019",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=RH57581
AU23081,"Wirra Wirra McLaren Vale Church Block 2018",Red Wine,14.5%,£12.95,Bottle,£77.50,Case of 6,/shop/ProductDetail.aspx?pd=AU23081
RH57051,"Crozes-Hermitage, Domaine Pochon 2018",Red Wine,14%,£14.50,Bottle,£174,Case of 12,/shop/ProductDetail.aspx?pd=RH57051
FC40001,"Minervois La Livinière Cuvée Cantilène, Château Sainte Eulalie 2018",Red Wine,14.5%,£13.95,Bottle,£167,Case of 12,/shop/ProductDetail.aspx?pd=FC40001
CB6131,"Château Lamothe Saint Germain, Bordeaux 2019",Red Wine,14.5%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=CB6131
FC39731,"Minervois, Plaisir d'Eulalie, Château Sainte Eulalie 2019",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=FC39731
IT29811,"Castel Serranova, Salento, Vallone 2016",Red Wine,14%,£11.50,Bottle,£69,Case of 6,/shop/ProductDetail.aspx?pd=IT29811
AU23451,"The Society's Australian Shiraz 2019",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=AU23451
