Code,Name,Type,Alcohol,Px,Px Unit,Bulk Px,Bulk Unit,URL
RH56981,"The Society's Côtes-du-Rhône 2019",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=RH56981
IT31011,"The Society's Sicilian Reserve Red 2017",Red Wine,13.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=IT31011
RH56921,"Ventoux Les Traverses, Paul Jaboulet Aîné 2019",Red Wine,14.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=RH56921
BJ8551,"The Society’s Beaujolais-Villages 2019",Red Wine,13.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=BJ8551
IT30781,"Montepulciano d'Abruzzo, Vigna Corvino 2019",Red Wine,13%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=IT30781
FC40071,"Domaine Laborie, Pays d'Oc 2020",Red Wine,12.5%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=FC40071
RH57581,"Côtes-du-Rhône, Domaine Jaume 2019",Red Wine,14%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=RH57581
IT30761,"Baccolo Appassimento Rosso Veneto 2019",Red Wine,13.5%,£7.50,Bottle,£45,Case of 6,/shop/ProductDetail.aspx?pd=IT30761
CL241,"The Society's Claret 2019",Red Wine,13.5%,£7.50,Bottle,£90,Case of 12,/shop/ProductDetail.aspx?pd=CL241
SP16331,"The Society's Exhibition Rioja Reserva 2015",Red Wine,14%,£16.50,Bottle,£198,Case of 12,/shop/ProductDetail.aspx?pd=SP16331
SP16181,"The Society's Rioja Crianza 2017",Red Wine,14%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=SP16181
BJ8591,"The Society's Exhibition Morgon 2019",Red Wine,13.5%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=BJ8591
MD211,"Pinot Noir, Château Vartely 2017",Red Wine,13%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=MD211
CB5961,"Château Lary Tagot, Bordeaux 2018",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=CB5961
IT29871,"The Society's Valpolicella Ripasso 2018",Red Wine,13.5%,£11.50,Bottle,£69,Case of 6,/shop/ProductDetail.aspx?pd=IT29871
FC39751,"Domaine Félines-Jourdan Rouge, Hérault 2019",Red Wine,13.5%,£7.50,Bottle,£90,Case of 12,/shop/ProductDetail.aspx?pd=FC39751
CE11391,"The Society's Chilean Pinot Noir, Leyda 2020",Red Wine,13.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=CE11391
CE10901,"Lascar Classic Carmenère 2019",Red Wine,13%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=CE10901
BJ8761,"Beaujolais Les Pierres Dorées, Cuvée Louis Dépagneux 2020",Red Wine,12.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=BJ8761
SP16271,"Sabina Tempranillo, Navarra 2019",Red Wine,13.5%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=SP16271
AR4381,"The Society's Exhibition Mendoza Malbec 2019",Red Wine,13.5%,£11.50,Bottle,£138,Case of 12,/shop/ProductDetail.aspx?pd=AR4381
CM16811,"Château Charmail, Haut-Médoc 2012",Red Wine,13%,£17,Bottle,£204,Case of 12,/shop/ProductDetail.aspx?pd=CM16811
CE10991,"The Society's Chilean Carmenère Rapel Valley 2019",Red Wine,13.5%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=CE10991
GR1691,"Xinomavro Jeunes Vignes, Thymiopoulos 2019",Red Wine,13%,£11.50,Bottle,£69,Case of 6,/shop/ProductDetail.aspx?pd=GR1691
PW7961,"Old Vines in Young Hands Tinto 2017",Red Wine,13.5%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=PW7961
AR4361,"The Society’s Argentine Malbec 2020",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=AR4361
AU23451,"The Society's Australian Shiraz 2019",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=AU23451
IT29951,"Aglianico del Vulture, Le Ralle 2017",Red Wine,13%,£9.50,Bottle,£57,Case of 6,/shop/ProductDetail.aspx?pd=IT29951
BJ8481,"The Society's Exhibition Fleurie 2019",Red Wine,13%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=BJ8481
BG371,"Bulgarian Heritage Mavrud, Via Vinera 2017",Red Wine,13.5%,£8.95,Bottle,£53.50,Case of 6,/shop/ProductDetail.aspx?pd=BG371
CB6131,"Château Lamothe Saint Germain, Bordeaux 2019",Red Wine,14.5%,£7.50,Bottle,£90,Case of 12,/shop/ProductDetail.aspx?pd=CB6131
