Code,Name,Type,Alcohol,Px,Px Unit,Bulk Px,Bulk Unit,URL
RH56981,"The Society's Côtes-du-Rhône 2019",Red Wine,14%,£8.50,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=RH56981
IT31011,"The Society's Sicilian Reserve Red 2017",Red Wine,13.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=IT31011
SP16181,"The Society's Rioja Crianza 2017",Red Wine,14%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=SP16181
IT30241,"The Society's Montepulciano d'Abruzzo 2019",Red Wine,13.5%,£7.95,Bottle,£80,Case of 12,/shop/ProductDetail.aspx?pd=IT30241
RH57581,"Côtes-du-Rhône, Domaine Jaume 2019",Red Wine,14%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=RH57581
FC38721,"Duo du Midi, Pays d'Oc 2019",Red Wine,13%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=FC38721
CE10901,"Lascar Classic Carmenère 2019",Red Wine,13%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=CE10901
CL241,"The Society's Claret 2019",Red Wine,13.5%,£7.50,Bottle,£90,Case of 12,/shop/ProductDetail.aspx?pd=CL241
RH56921,"Ventoux Les Traverses, Paul Jaboulet Aîné 2019",Red Wine,14.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=RH56921
BJ8481,"The Society's Exhibition Fleurie 2019",Red Wine,13%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=BJ8481
BJ8491,"Château d'Emeringes, Beaujolais-Villages Vieilles Vignes 2019",Red Wine,13.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=BJ8491
SP16271,"Sabina Tempranillo, Navarra 2019",Red Wine,14%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=SP16271
CB5961,"Château Lary Tagot, Bordeaux 2018",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=CB5961
FC39001,"Corbières Rouge, Domaine du Trillol 2016",Red Wine,13.5%,£6.95,Bottle,£41.50,Case of 6,/shop/ProductDetail.aspx?pd=FC39001
PW8101,"The Society's Portuguese Red, Península de Setúbal 2019",Red Wine,13.5%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=PW8101
