Code,Name,Type,Alcohol,Px,Px Unit,Bulk Px,Bulk Unit,URL
IT31011,"The Society's Sicilian Reserve Red 2017",Red Wine,13.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=IT31011
PW8611,"The Society's Portuguese Red, Península de Setúbal 2020",Red Wine,13.5%,£5.95,Bottle,£71,Case of 12,/shop/ProductDetail.aspx?pd=PW8611
IT29871,"The Society's Valpolicella Ripasso 2018",Red Wine,13.5%,£10.95,Bottle,£65.50,Case of 6,/shop/ProductDetail.aspx?pd=IT29871
BJ8771,"The Society’s Beaujolais-Villages 2020",Red Wine,13.5%,£8.25,Bottle,£99,Case of 12,/shop/ProductDetail.aspx?pd=BJ8771
FC40071,"Domaine Laborie, Pays d'Oc 2020",Red Wine,12.5%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=FC40071
CB6231,"Château Massieu Boutet, Bordeaux 2019",Red Wine,12.5%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=CB6231
CB5961,"Château Lary Tagot, Bordeaux 2018",Red Wine,14%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=CB5961
SP16261,"Cruz de Piedra Garnacha, Calatayud 2019",Red Wine,14.5%,£6.95,Bottle,£41.50,Case of 6,/shop/ProductDetail.aspx?pd=SP16261
IT31401,"The Society's Exhibition Langhe Nebbiolo 2018",Red Wine,14.5%,£13.95,Bottle,£167,Case of 12,/shop/ProductDetail.aspx?pd=IT31401
FC40831,"Domaine Félines-Jourdan Rouge, Hérault 2020",Red Wine,13.5%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=FC40831
BJ8751,"The Society's Exhibition Fleurie 2020",Red Wine,13.5%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=BJ8751
CB6141,"Château Haut-Bardin, Bordeaux 2018",Red Wine,14%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=CB6141
IT31951,"Montepulciano d'Abruzzo Gran Sasso 2019",Red Wine,13.5%,£8.95,Bottle,£53.50,Case of 6,/shop/ProductDetail.aspx?pd=IT31951
IT30241,"The Society's Montepulciano d'Abruzzo 2019",Red Wine,13.5%,£7.75,Bottle,£93,Case of 12,/shop/ProductDetail.aspx?pd=IT30241
GR1691,"Xinomavro Jeunes Vignes, Thymiopoulos 2019",Red Wine,13%,£11.50,Bottle,£69,Case of 6,/shop/ProductDetail.aspx?pd=GR1691
IT30761,"Baccolo Appassimento Rosso Veneto 2019",Red Wine,13.5%,£6.95,Bottle,£41.50,Case of 6,/shop/ProductDetail.aspx?pd=IT30761
CL241,"The Society's Claret 2019",Red Wine,13.5%,£7.25,Bottle,£87,Case of 12,/shop/ProductDetail.aspx?pd=CL241
SP16181,"The Society's Rioja Crianza 2017",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=SP16181
LO16181,"Saumur Rouge ‘Les Plantagenêts' Cabernet Franc 2018",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=LO16181
FC40241,"Syrah-Mourvèdre, Côtes de Thongue, Domaine La Condamine L'Evêque 2020",Red Wine,13%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=FC40241
RH60311,"The Society's Côtes-du-Rhône 2020",Red Wine,14%,£7.75,Bottle,£93,Case of 12,/shop/ProductDetail.aspx?pd=RH60311
AR4361,"The Society’s Argentine Malbec 2020",Red Wine,14.5%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=AR4361
SP16201,"Glorioso Reserva, Rioja 2016",Red Wine,14%,£11.95,Bottle,£71.50,Case of 6,/shop/ProductDetail.aspx?pd=SP16201
AA3151,"Familie Mantler Zweigelt 2019",Red Wine,13.5%,£8.50,Bottle,£51,CASE6,/shop/ProductDetail.aspx?pd=AA3151
RH57481,"Côtes-du-Rhône Rive Droite Rive Gauche 2019",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=RH57481
FC40041,"The Society's French Pinot Noir 2020",Red Wine,12.5%,£7.50,Bottle,£90,Case of 12,/shop/ProductDetail.aspx?pd=FC40041
SP16361,"Navajas Crianza, Rioja 2016",Red Wine,13.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=SP16361
RH56921,"Ventoux Les Traverses, Paul Jaboulet Aîné 2019",Red Wine,14.5%,£8.75,Bottle,£105,Case of 12,/shop/ProductDetail.aspx?pd=RH56921
CS12011,"Château Chaigneau, Lalande-de-Pomerol 2016",Red Wine,13%,£12.95,Bottle,£77.50,Case of 6,/shop/ProductDetail.aspx?pd=CS12011
CE11521,"Lascar Classic Merlot 2020",Red Wine,13%,£5.95,Bottle,£71,Case of 12,/shop/ProductDetail.aspx?pd=CE11521
FC39771,"Cabardès Terroirs d'Altitude, Château de Pennautier 2016",Red Wine,14%,£8.95,bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=FC39771
SP16271,"Sabina Tempranillo, Navarra 2019",Red Wine,13.5%,£5.95,Bottle,£35.50,Case of 6,/shop/ProductDetail.aspx?pd=SP16271
AA3451,"Heidi Schröck & Söhne 'Wine Champion' Blaufränkisch, Burgenland 2020",Red Wine,13.5%,£9.95,Bottle,£59.50,Case of 6,/shop/ProductDetail.aspx?pd=AA3451
IT31941,"The Society's Barbera d'Asti Superiore 2019",Red Wine,14.5%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=IT31941
SP16331,"The Society's Exhibition Rioja Reserva 2015",Red Wine,14%,£16.50,Bottle,£198,Case of 12,/shop/ProductDetail.aspx?pd=SP16331
SP15711,"The Society's Southern Spanish Red, Jumilla 2019",Red Wine,14%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=SP15711
SP16221,"La Rioja Alta Viña Ardanza Reserva, Rioja 2012",Red Wine,14.5%,£25,Bottle,£300,Case of 12,/shop/ProductDetail.aspx?pd=SP16221
US9731,"Paris Valley Road California Zinfandel 2017",Red Wine,15%,£11.50,Bottle,£138,Case of 12,/shop/ProductDetail.aspx?pd=US9731
CB6191,"Château de la Grave ‘Caractère', Côtes de Bourg 2018",Red Wine,14.5%,£9.50,Bottle,£114,Case of 12,/shop/ProductDetail.aspx?pd=CB6191
US9371,"The Society's California Old-Vine Zinfandel 2019",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=US9371
PW8591,"Old Vines in Young Hands Tinto 2019",Red Wine,13%,£6.25,Bottle,£37.50,Case of 6,/shop/ProductDetail.aspx?pd=PW8591
IT29951,"Aglianico del Vulture, Le Ralle 2017",Red Wine,13%,£8.95,Bottle,£53.50,Case of 6,/shop/ProductDetail.aspx?pd=IT29951
FC40091,"Duo du Midi, Pays d'Oc 2020",Red Wine,13%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=FC40091
AU23261,"Victory Hotel Australian Shiraz-Cabernet Sauvignon 2020",Red Wine,14%,£6.50,Bottle,£39,Case of 6,/shop/ProductDetail.aspx?pd=AU23261
NZ12391,"The Society's Exhibition Marlborough Pinot Noir 2020",Red Wine,13.5%,£14.50,Bottle,£174,Case of 12,/shop/ProductDetail.aspx?pd=NZ12391
SA16311,"Percheron Shiraz-Mourvèdre, Swartland 2020",Red Wine,14.5%,£7.25,Bottle,£87,Case of 12,/shop/ProductDetail.aspx?pd=SA16311
IT29941,"Aglianico del Vulture 'Alvolo', Alovini 2017",Red Wine,14%,£14.95,Bottle,£179,Case of 12,/shop/ProductDetail.aspx?pd=IT29941
IT30851,"The Society’s Chianti Rùfina 2018",Red Wine,12.5%,£9.50,Bottle,£114,Case of 12,/shop/ProductDetail.aspx?pd=IT30851
PW8431,"Crasto, Douro 2019",Red Wine,14%,£10.95,Bottle,£65.50,Case of 6,/shop/ProductDetail.aspx?pd=PW8431
SA16241,"Perdebee Shiraz, Darling 2017",Red Wine,13.5%,£9.50,Bottle,£57,Case of 6,/shop/ProductDetail.aspx?pd=SA16241
SP16451,"Muga Reserva, Rioja 2017",Red Wine,14%,£16,Bottle,£192,Case of 12,/shop/ProductDetail.aspx?pd=SP16451
LO16281,"Touraine Tradition, Domaine de la Renaudie 2018",Red Wine,12.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=LO16281
FC40001,"Minervois La Livinière Cuvée Cantilène, Château Sainte Eulalie 2018",Red Wine,14.5%,£13.95,Bottle,£167,Case of 12,/shop/ProductDetail.aspx?pd=FC40001
RH60071,"Côtes-du-Rhône, Château Courac 2017",Red Wine,14.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=RH60071
AU23451,"The Society's Australian Shiraz 2019",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=AU23451
PW8651,"Carlos Lucas Ribeiro Santo, Dão 2020",Red Wine,13%,£7.95,Bottle,£47.50,Case of 6,/shop/ProductDetail.aspx?pd=PW8651
CB6131,"Château Lamothe Saint Germain, Bordeaux 2019",Red Wine,14.5%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=CB6131
CB5441,"Château Pey La Tour Reserve, Bordeaux Supérieur 2017",Red Wine,14.5%,£11.50,Bottle,£138,Case of 12,/shop/ProductDetail.aspx?pd=CB5441
CB6101,"Château Le Clos du Notaire, Côtes de Bourg 2017",Red Wine,14%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=CB6101
BJ8621,"Domaine du Moulin d'Eole, Moulin-à-Vent Les Thorins 2019",Red Wine,13%,£12.50,Bottle,£150,Case of 12,/shop/ProductDetail.aspx?pd=BJ8621
CB5941,"Château Canada, Bordeaux Supérieur 2018",Red Wine,13.5%,£8.25,Bottle,£99,Case of 12,/shop/ProductDetail.aspx?pd=CB5941
BJ8761,"Beaujolais Les Pierres Dorées, Cuvée Louis Dépagneux 2020",Red Wine,12.5%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=BJ8761
CE11311,"The Society’s Chilean Cabernet Sauvignon, Maipo 2019",Red Wine,14%,£7.50,Bottle,£90,Case of 12,/shop/ProductDetail.aspx?pd=CE11311
GR1941,"Rapsani Terra Petra, Thymiopoulos 2018",Red Wine,13%,£22,Bottle,£132,Case of 6,/shop/ProductDetail.aspx?pd=GR1941
FC40761,"The Society's Corbières 2019",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=FC40761
FC39961,"Gamay, Jacques Dépagneux, Vin de France 2020",Red Wine,12%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=FC39961
BJ8831,"Stéphane Aviron, Beaujolais Quincié 2020",Red Wine,13%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=BJ8831
IT30491,"Biferno Rosso Riserva, Palladino 2017",Red Wine,13%,£8.95,Bottle,£53.50,Case of 6,/shop/ProductDetail.aspx?pd=IT30491
AU23461,"Wakefield Promised Land Shiraz-Cabernet 2019",Red Wine,14.5%,£8.50,Bottle,£51,Case of 6,/shop/ProductDetail.aspx?pd=AU23461
CM20041A,"Château Beaumont, Haut-Médoc 2016",Red Wine,13.5%,£14.95,Bottle,£89.50,Case of 6,/shop/ProductDetail.aspx?pd=CM20041A
SA16281,"The Society's Exhibition Pinotage, Stellenbosch 2018",Red Wine,14%,£11.95,Bottle,£71.50,Case of 6,/shop/ProductDetail.aspx?pd=SA16281
